"V21","V22","V23","V24","checking","duration","credit_history","purpose","credit_amount","employment","installment_rate","gender","marital_status","other_debtors_gaurantors","residenceyr","property","age","other_installment","housing","credits_in_bank","job","people_liable","telephone_owned","foreign_worker","good_bad_credit"
1,0,0,1,1,6,4,12,5,5,3,"male","divorced_separated",67,3,2,1,2,1,0,0,1,0,0,1
1,0,0,1,2,48,2,60,1,3,2,"male","divorced_separated",22,3,1,1,1,1,0,0,1,0,0,2
1,0,1,0,4,12,4,21,1,4,3,"male","divorced_separated",49,3,1,2,1,1,0,0,1,0,0,1
0,0,0,1,1,42,2,79,1,4,3,"female","married",45,3,1,2,1,1,0,0,0,0,0,1
0,0,0,1,1,24,3,49,1,3,3,"male","married_widowed",53,3,2,2,1,1,1,0,1,0,0,2
0,0,1,0,4,36,2,91,5,3,3,"male","married_widowed",35,3,1,2,2,1,0,0,1,0,0,1
1,0,0,1,4,24,2,28,3,5,3,"female","married",53,3,1,1,1,1,0,0,1,0,0,1
0,0,0,0,2,36,2,69,1,3,3,"male","single",35,3,1,1,2,1,0,1,1,0,1,1
1,0,1,0,4,12,2,31,4,4,1,"male","divorced_separated",61,3,1,1,1,1,0,0,1,0,0,1
1,0,0,0,2,30,4,52,1,1,4,"male","single",28,3,2,1,1,1,1,0,1,0,0,2
0,0,0,1,2,12,2,13,1,2,2,"male","single",25,3,1,1,1,1,1,0,1,0,1,2
0,0,0,1,1,48,2,43,1,2,2,"female","married",24,3,1,1,1,1,0,0,1,0,1,2
1,0,0,1,2,12,2,16,1,3,2,"male","single",22,3,1,1,2,1,0,0,1,0,0,1
1,0,1,0,1,24,4,12,1,5,3,"male","single",60,3,2,1,1,1,1,0,1,0,0,2
0,0,0,1,1,15,2,14,1,3,2,"male","single",28,3,1,1,1,1,1,0,1,0,1,1
1,0,1,0,1,24,2,13,2,3,2,"male","single",32,3,1,1,1,1,0,0,1,0,0,2
1,0,0,1,4,24,4,24,5,5,3,"female","married",53,3,2,1,1,1,0,0,1,0,0,1
1,0,0,1,1,30,0,81,5,2,3,"male","single",25,1,3,1,1,1,0,0,1,0,0,1
0,0,0,0,2,24,2,126,1,5,2,"male","married_widowed",44,3,1,1,2,1,0,1,1,0,0,2
1,0,0,1,4,24,2,34,3,5,3,"male","single",31,3,1,2,2,1,0,0,1,0,0,1
1,0,0,1,4,9,4,21,1,3,3,"male","single",48,3,3,1,2,1,1,0,1,0,0,1
0,0,0,1,1,6,2,26,3,3,3,"male","divorced_separated",44,3,1,2,1,1,0,0,1,0,1,1
0,0,1,0,1,10,4,22,1,2,3,"male","divorced_separated",48,3,2,2,1,2,1,0,1,0,1,1
1,0,0,1,2,12,4,18,2,2,3,"female","married",44,3,1,1,1,1,0,1,1,0,0,1
1,0,0,1,4,10,4,21,5,3,4,"male","single",26,3,2,1,1,2,0,0,1,0,0,1
1,0,1,0,1,6,2,14,1,3,3,"male","divorced_separated",36,1,1,1,2,1,0,0,1,0,0,1
1,0,1,0,4,6,0,4,1,5,4,"male","single",39,3,1,1,1,1,0,0,1,0,0,1
0,0,0,1,3,12,1,4,4,3,2,"male","divorced_separated",42,3,2,1,1,1,0,0,1,0,1,1
1,0,0,1,2,7,2,24,1,3,3,"male","divorced_separated",34,3,1,1,1,1,0,0,0,0,0,1
1,0,0,1,1,60,3,68,1,5,3,"male","married_widowed",63,3,2,1,2,1,0,0,1,0,0,2
1,0,0,1,2,18,2,19,4,2,4,"male","divorced_separated",36,1,1,1,2,1,0,0,1,0,0,1
1,0,0,1,1,24,2,40,1,3,3,"male","single",27,2,1,1,1,1,0,0,1,0,0,1
1,0,0,1,2,18,2,59,2,3,3,"male","single",30,3,2,1,2,1,1,0,1,0,0,1
0,0,1,0,4,12,4,13,5,5,3,"male","married_widowed",57,3,1,1,1,1,0,0,1,0,1,1
1,0,0,0,3,12,2,15,1,2,2,"female","married",33,1,1,1,2,1,0,0,1,0,0,1
1,0,1,0,2,45,4,47,1,2,3,"female","married",25,3,2,1,1,1,0,0,1,0,0,2
0,0,0,1,4,48,4,61,1,3,3,"male","married_widowed",31,1,1,1,2,1,0,0,1,0,0,1
1,0,0,1,3,18,2,21,1,3,3,"male","divorced_separated",37,2,1,1,1,1,0,0,0,1,0,2
1,0,0,1,3,10,2,12,1,3,3,"male","single",37,3,1,1,2,1,0,0,1,0,0,1
1,0,0,1,2,9,2,5,1,3,3,"male","divorced_separated",24,3,1,1,1,1,0,0,1,0,0,1
1,0,0,0,4,30,2,23,3,5,3,"male","single",30,1,1,1,1,1,0,0,1,0,0,1
1,0,0,1,2,12,2,12,3,3,1,"male","single",26,3,1,1,2,1,0,0,1,0,0,1
1,0,1,0,2,18,3,62,1,3,3,"male","divorced_separated",44,3,1,2,2,1,0,0,1,0,0,1
0,0,0,1,1,30,4,62,2,4,4,"male","single",24,3,2,1,1,1,0,1,1,0,1,1
0,0,1,0,1,48,4,61,1,5,2,"male","married_widowed",58,2,2,1,1,1,0,1,1,0,0,2
1,0,0,0,4,11,4,14,1,2,2,"male","single",35,3,2,1,1,1,1,0,1,0,0,1
1,0,0,1,4,36,2,23,3,5,3,"male","single",39,3,1,1,1,1,0,0,1,0,0,1
0,1,0,0,1,6,2,14,3,1,2,"female","married",23,3,1,1,2,1,0,1,1,0,1,1
1,0,1,0,4,11,4,72,1,3,3,"female","married",39,3,2,1,1,1,1,0,1,0,0,1
1,0,0,1,4,12,2,21,2,3,2,"male","divorced_separated",28,3,1,1,1,1,0,0,0,1,0,1
1,0,1,0,2,24,3,23,5,2,3,"female","married",29,1,1,1,1,1,0,0,1,0,0,1
1,0,0,0,2,27,3,60,1,5,3,"male","single",30,3,2,1,2,1,0,1,1,0,0,1
1,0,0,1,4,12,2,13,1,3,3,"male","single",25,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,4,18,2,34,5,3,3,"female","married",31,3,1,1,2,1,0,1,1,0,0,1
0,0,0,1,2,36,3,22,1,5,3,"male","married_widowed",57,1,2,1,2,1,1,0,1,0,0,2
1,0,1,0,4,6,1,8,5,3,3,"male","divorced_separated",26,2,1,2,1,1,1,0,0,0,0,1
1,0,0,0,2,12,2,65,5,1,3,"male","married_widowed",52,3,1,1,2,1,0,0,1,0,0,2
1,0,0,1,4,36,4,96,1,3,2,"male","single",31,2,2,1,1,1,0,0,1,0,0,1
1,0,0,0,3,18,2,20,1,5,2,"male","single",23,3,1,1,1,1,1,0,1,0,0,1
0,0,1,0,1,36,4,62,1,2,2,"male","married_widowed",23,3,2,1,2,1,0,0,0,1,1,2
1,0,0,1,2,9,2,14,1,3,4,"male","divorced_separated",27,1,1,1,2,1,0,0,1,0,0,1
1,0,0,1,2,15,4,15,5,5,3,"male","divorced_separated",50,3,2,1,2,1,0,0,0,0,0,1
0,0,0,0,2,36,0,20,1,5,3,"male","married_widowed",61,3,1,1,2,1,0,0,1,0,0,2
1,0,0,1,2,48,0,144,1,3,3,"male","single",25,3,1,1,2,1,0,0,1,0,0,2
1,0,0,1,4,24,2,32,1,2,2,"female","married",26,3,1,1,2,1,0,0,1,0,0,1
1,0,0,1,4,27,2,52,5,5,3,"female","married",48,3,4,2,2,1,0,0,1,0,0,1
1,0,0,1,4,12,2,22,1,2,2,"male","single",29,1,1,1,1,1,0,0,1,0,0,1
1,0,0,1,2,12,2,10,4,3,4,"male","divorced_separated",22,3,1,1,1,1,1,0,1,0,0,1
0,0,0,1,4,36,2,18,1,3,3,"male","married_widowed",37,2,1,1,2,1,0,0,1,0,0,2
1,0,0,1,4,36,2,24,5,3,2,"male","single",25,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,4,36,2,81,1,3,2,"female","married",30,1,1,1,1,1,0,1,1,0,0,1
0,0,1,0,4,7,4,7,5,5,3,"female","married",46,3,2,1,2,1,0,0,1,0,1,1
0,0,0,0,1,8,4,12,1,5,3,"male","married_widowed",51,1,2,2,2,1,0,0,1,0,0,1
1,0,1,0,2,42,4,60,1,4,2,"male","divorced_separated",41,1,2,1,1,1,0,0,1,0,0,1
1,0,0,0,1,36,2,20,5,5,3,"male","married_widowed",40,3,1,1,2,1,0,0,1,0,0,2
0,0,0,0,1,12,4,15,1,5,3,"male","married_widowed",66,3,2,1,1,1,0,1,1,0,0,1
1,0,0,1,1,42,2,40,1,2,3,"male","single",34,3,1,1,1,1,0,0,1,0,0,2
1,0,0,1,2,11,3,48,1,4,3,"female","married",51,3,1,1,1,1,0,0,1,0,0,1
1,0,1,0,4,54,0,94,5,3,3,"female","married",39,3,1,2,1,1,0,1,1,0,0,1
1,0,0,1,2,30,2,38,1,2,4,"female","married",22,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,4,24,2,59,5,2,2,"male","single",44,3,2,1,2,1,0,0,1,0,0,2
1,0,0,1,4,15,2,12,3,5,3,"female","married",47,2,1,1,2,1,0,0,1,0,0,1
0,0,1,0,4,18,2,16,2,3,2,"female","married",24,3,1,1,1,1,0,0,1,0,1,1
1,0,1,0,1,24,2,18,1,5,2,"male","divorced_separated",58,3,1,1,2,1,0,0,0,0,0,1
1,0,1,0,1,10,2,23,1,5,3,"male","divorced_separated",52,3,1,1,1,1,0,0,1,0,0,1
1,0,0,0,4,12,4,14,1,3,2,"male","divorced_separated",29,3,2,1,2,1,0,0,0,0,0,1
1,0,0,1,2,18,4,13,1,2,2,"female","married",27,3,2,1,1,1,0,0,1,0,0,1
0,0,0,1,2,36,2,126,2,3,3,"male","married_widowed",47,3,1,2,2,1,0,0,1,0,0,2
1,0,0,0,1,18,2,22,2,4,3,"male","single",30,3,1,2,2,1,1,0,1,0,0,1
1,0,0,1,1,12,0,11,1,4,3,"male","divorced_separated",28,3,2,1,1,1,0,0,1,0,0,2
1,0,0,1,4,12,4,6,1,5,3,"male","divorced_separated",56,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,1,12,4,14,1,5,3,"male","divorced_separated",54,3,1,1,1,1,0,1,1,0,0,1
1,0,1,0,4,12,4,8,5,5,2,"female","married",33,1,1,2,1,1,0,0,1,0,0,2
0,0,0,1,3,24,4,36,5,5,3,"male","married_widowed",20,3,2,1,1,1,0,0,0,1,1,1
1,0,0,1,2,12,2,13,4,5,3,"male","divorced_separated",54,3,1,1,2,1,1,0,1,0,0,1
0,0,0,1,2,54,0,159,1,2,3,"male","married_widowed",58,3,1,1,2,1,0,0,1,0,1,2
1,0,0,1,4,12,4,20,5,4,2,"male","single",61,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,2,18,2,26,2,3,3,"male","single",34,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,2,36,4,23,1,5,3,"male","divorced_separated",36,3,1,1,1,1,0,0,1,0,0,1
0,0,0,0,2,20,3,71,5,4,3,"female","married",36,1,2,2,2,1,0,1,1,0,1,1
0,0,1,0,4,24,2,15,2,5,4,"male","divorced_separated",41,3,1,1,1,1,1,0,1,0,1,1
0,0,0,1,2,36,2,23,1,4,3,"male","single",24,3,1,1,1,1,0,0,1,0,1,1
1,0,0,1,4,6,3,9,1,3,2,"male","divorced_separated",24,3,1,1,1,1,0,0,1,0,0,1
0,0,0,1,2,9,4,19,1,4,3,"male","single",35,3,1,1,2,1,0,0,1,0,1,1
0,0,0,1,4,12,2,24,5,2,4,"male","single",26,3,1,1,2,1,0,1,1,0,1,1
1,0,0,0,2,24,4,119,1,3,3,"male","single",39,3,2,2,2,1,0,0,0,1,0,2
1,0,0,0,4,18,1,65,1,5,3,"male","married_widowed",39,1,2,2,2,1,1,0,1,0,0,2
1,0,0,1,2,12,2,61,1,4,3,"male","single",32,3,1,1,1,1,1,0,1,0,0,1
1,0,0,1,1,24,2,77,5,2,2,"female","married",30,3,1,1,2,2,0,0,1,0,0,1
1,0,0,1,2,14,2,14,3,5,4,"male","divorced_separated",35,3,1,1,2,1,0,0,1,0,0,1
1,0,0,1,2,6,3,14,2,5,1,"male","single",31,1,2,2,1,1,0,0,1,0,0,1
