"Model","Threshold","Misclassification","Sensitivity","Specificity","Cost","AUC"
"Logistic (AIC)",0.77,0.315,0.617,0.821,111,0.797
"Logistic (cost-weighted)",0.4,0.3,0.647,0.806,112,0.8
"Random forest (cost-tuned)",0.74,0.35,0.556,0.836,114,0.803
"Classification tree (cost-tuned)",0.72,0.395,0.481,0.851,119,0.725
"QDA (cost-tuned)",0.79,0.345,0.594,0.776,129,0.776
"Logistic (BIC)",0.73,0.315,0.654,0.746,131,0.78
"QDA",0.5,0.27,0.759,0.672,142,0.776
"LDA",0.5,0.26,0.88,0.463,196,0.802
"SVM (radial)",NA,0.26,0.887,0.448,200,0.798
"Classification tree",0.5,0.29,0.842,0.448,206,0.725
"Random forest",0.5,0.245,0.932,0.403,209,0.803
"SVM (linear)",NA,0.275,0.917,0.343,231,0.796
"SVM (polynomial)",NA,0.335,0.955,0.09,311,0.718
