"Predictor","Adjusted_GVIF"
"housing_own",2.491
"housing_rent",2.256
"job_unskilled_res",1.677
"job_skilled",1.655
"no_other_debtors",1.463
"coapplicant",1.442
"credit_amount",1.399
"duration",1.335
"credits_in_bank",1.304
"property",1.237
"age",1.208
"job_unskilled_nonres",1.174
"residence_since",1.16
"employment",1.122
"credit_history",1.102
"purpose_used_car",1.096
"personal_status_sex",1.093
"purpose_new_car",1.061
"telephone_owned",1.058
"checking",1.05
"other_installment",1.049
"installment_pct_inc",1.042
"savings",1.039
"foreign_worker",1.035
